"smca","red","nombre_estacion","clave_estacion","nombre_contaminante","clave_contaminante","fecha","hora","valor","unidades","longitud","latitud"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-21","17","1.52","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-21","18","0.53","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-21","19","0.06","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-21","20","0.14","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-21","22","0.05","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-22","0","0.01","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-22","4","0.02","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-22","5","0.32","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-22","6","0.33","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-22","7","0.23","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-22","8","0.07","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-22","9","0.06","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-22","11","0.04","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-22","12","0.06","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-22","13","0.06","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-22","14","0.21","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-22","15","0.17","ppm","20.97327222","-89.62481111"
"Yucatan","Merida","SDS01","CEN","Monoxido de carbono","CO","2022-07-22","16","0.18","ppm","20.97327222","-89.62481111"
