"Centro Nacional de Control de Energia"
"Estadistica de la Energia Generada Liquidada Agregada (MWh) Intermitente y Firme por Tipo de Tecnologia"
"Sistema Electrico Nacional"
"Dias de Operacion del Mes de: febrero 2026"
"Proceso de Liquidacion: Original (L0) "
"Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/mar/2026 05:00:01 hrs."
"Nota: Los acentos de este reporte se omiten intencionalmente por sistema."
"Sistema"," Dia"," Hora"," Eolica"," Fotovoltaica","  Biomasa"," Carboelectrica"," Ciclo Combinado"," Combustion Interna"," Geotermoelectrica"," Hidroelectrica"," Nucleoelectrica"," Termica Convencional"," Turbo Gas"
"SEN","15/02/2026","6","1805.9172","0.0902","19.4382","806.8453","21034.8486","255.9222","375.8583","1390.7593","1520.3012","2348.4214","1001.187"
"SEN","15/02/2026","7","1914.6215","10.8299","24.111","807.16","20706.4887","250.8658","378.1301","1551.4897","1520.0604","2340.2326","1015.7418"
"SEN","15/02/2026","8","2400.2903","438.3606","23.7411","798.3787","19584.8205","230.0514","378.312","1578.4191","1520.1526","2197.3533","1031.0003"
"SEN","15/02/2026","9","2161.6891","2955.091","24.5444","807.6019","17862.9588","240.1447","376.98","1309.1397","1528.4089","1870.3639","970.1737"
"SEN","15/02/2026","10","1611.7594","4676.5586","25.1039","813.7889","17323.4321","237.0919","363.6704","1180.6288","1530.8091","1716.3848","959.9253"
"SEN","15/02/2026","11","1771.3322","5011.5212","24.4774","807.5499","17162.3929","265.9327","351.4247","1017.3398","1530.9893","1743.8248","930.5326"
"SEN","15/02/2026","12","1707.5303","4717.6772","24.9022","803.8304","17525.581","285.9904","350.9952","1092.1556","1530.063","1753.6078","917.6864"
"SEN","15/02/2026","13","1691.5347","4794.4415","25.0097","805.0947","17541.2721","287.8077","350.1426","1165.0672","1530.3273","1754.354","924.1002"
"SEN","15/02/2026","14","2255.8114","4962.9313","25.6198","804.1171","17616.0554","312.2873","350.3384","973.2191","1529.1929","1684.9155","939.7509"
"SEN","15/02/2026","15","2629.91","5359.3729","20.7026","803.9088","17402.6796","268.2657","350.4935","768.0587","1527.9404","1698.9963","939.4858"
"SEN","15/02/2026","16","2577.8061","5324.4823","2.247","808.8429","17850.7906","272.5432","350.0351","988.0177","1528.2676","1940.5534","953.2418"
"SEN","15/02/2026","17","2574.4602","4905.8487","2.2187","881.5923","18595.6393","262.153","349.3477","1452.8516","1528.439","2025.4609","1089.8185"
"SEN","15/02/2026","18","2465.7554","3321.6796","2.2175","965.1667","20226.8183","268.8916","350.4814","2013.1039","1528.0924","2266.6263","1193.0562"
