categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
[4B2] Tierras convertidas a tierras de cultivo,1115619.89,,,,,,,,,,,,,,,,,,,,,,,,,,,1115619.89,
[4C] Praderas,5081193.83,,,,,,,,,,,,,,,,,,,,,,,,,,,5081193.83,
[4C1] Praderas que permanecen como tal,-504935.37,,,,,,,,,,,,,,,,,,,,,,,,,,,-504935.37,
[4C2] Tierras convertidas en praderas,5586129.19,,,,,,,,,,,,,,,,,,,,,,,,,,,5586129.19,
[4D] Humedales,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
[4D1] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4D2] Tierras convertidas en humedales,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
[4E] Asentamientos ,68287.94,,,,,,,,,,,,,,,,,,,,,,,,,,,68287.94,
[4E1] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4E2] Tierras convertidas en asentamientos,68287.94,,,,,,,,,,,,,,,,,,,,,,,,,,,68287.94,
[4F] Otras tierras ,68287.94,,,,,,,,,,,,,,,,,,,,,,,,,,,68287.94,
[4F1] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4F1] Tierras convertidas en otras tierras,68287.94,,,,,,,,,,,,,,,,,,,,,,,,,,,68287.94,
[4(IV)] Emisiones de GEI por quemado de biomasa,,521920,221280.05,,,,,,,,,,,,,,,,,,,,,,,,,743200.05,2121.94
[4(IV)A] Emisiones de quemado de biomasa en tierras forestales,,465803.15,172787.77,,,,,,,,,,,,,,,,,,,,,,,,,638590.92,1805.37
[4(IV)C] Emisiones de quemado de biomasa en tierras praderas,,56116.85,48492.28,,,,,,,,,,,,,,,,,,,,,,,,,104609.13,316.568
[4(IV)H] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
[4G] Productos de madera recolectada,-3856748.62,,,,,,,,,,,,,,,,,,,,,,,,,,,-3856748.62,
[4H] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5] Residuos,474041.5,22691673.46,5759668.94,,,,,,,,,,,,,,,,,,,,,,,,,28925383.89,1462.35
[5A] Eliminación de residuos sólidos,,6064554.66,,,,,,,,,,,,,,,,,,,,,,,,,,6064554.66,
[5A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,3514211.91,,,,,,,,,,,,,,,,,,,,,,,,,,3514211.91,
[5A2] Sitios no controlados de eliminación de residuos ,,1884024.26,,,,,,,,,,,,,,,,,,,,,,,,,,1884024.26,
[5A3] Tiraderos a cielo abierto para eliminación de residuos,,666318.49,,,,,,,,,,,,,,,,,,,,,,,,,,666318.49,
[5B] Tratamiento biológico de los residuos sólidos,,98854.39,70168.97,,,,,,,,,,,,,,,,,,,,,,,,,169023.36,
[5C] Incineración y quema a cielo abierto  de residuos,474041.5,1094559.66,239061.31,,,,,,,,,,,,,,,,,,,,,,,,,1807662.46,1462.35
[5C1] Incineración de residuos peligrosos industriales y biológico infeccioso,71.336,0.145,2.291,,,,,,,,,,,,,,,,,,,,,,,,,73.772,
[5C2] Quema a cielo abierto de residuos sólidos,473970.16,1094559.51,239059.02,,,,,,,,,,,,,,,,,,,,,,,,,1807588.69,1462.35
[5D] Tratamiento y eliminación de aguas residuales,,15433704.76,5450438.66,,,,,,,,,,,,,,,,,,,,,,,,,20884143.42,
[5D1] Tratamiento y eliminación de aguas residuales municipales,,4676991.19,3962084.38,,,,,,,,,,,,,,,,,,,,,,,,,8639075.57,
[5D2] Tratamiento y eliminación de aguas residuales industriales,,10756713.56,1488354.28,,,,,,,,,,,,,,,,,,,,,,,,,12245067.84,
[5E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (t de CO2e),407474252.5,131236620.43,32531850.26,1304436.06,0,0,0,0,599119.93,0,0,0,0,0,0,0,0,0,0.327,449177.7,119964.71,43.02,0,15.371,0,389.109,72047.89,573787917.3,89621.96
Bunkers,2824170.92,544.51,20613.52,,,,,,,,,,,,,,,,,,,,,,,,,2845328.95,39.976
Aviación internacional,2824170.92,544.51,20613.52,,,,,,,,,,,,,,,,,,,,,,,,,2845328.95,39.976
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,29711154,,,,,,,,,,,,,,,,,,,,,,,,,,,29711154,
