categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,Unnamed: 29,emision_neta_carbono_negro_t
[3A4f] Mulas y asnos,,252245.0,,,,,,,,,,,,,,,,,,,,,,,,,,252245.0,,
[3A4h] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3B] Gestión del estiércol,,16547106.0,5715455.578,,,,,,,,,,,,,,,,,,,,,,,,,22262561.578,,
[3B1] Bovino,,9661567.0,4202423.0,,,,,,,,,,,,,,,,,,,,,,,,,13863990.0,,
[3B2] Ovinos,,32375.0,30688.0,,,,,,,,,,,,,,,,,,,,,,,,,63063.0,,
[3B3] Porcinos,,5149539.0,421119.0,,,,,,,,,,,,,,,,,,,,,,,,,5570658.0,,
[3B4a] Búfalos,,4613.0,15400.0,,,,,,,,,,,,,,,,,,,,,,,,,20013.0,,
[3B4b] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
[3B4d] Caprino,,40176.0,21295.0,,,,,,,,,,,,,,,,,,,,,,,,,61471.0,,
[3B4e] Caballos,,70629.0,548733.0,,,,,,,,,,,,,,,,,,,,,,,,,619362.0,,
[3B4f] Mulas y asnos,,24952.0,176077.0,,,,,,,,,,,,,,,,,,,,,,,,,201029.0,,
[3B4g] Aves de corral,,1563255.0,299720.578,,,,,,,,,,,,,,,,,,,,,,,,,1862975.578,,
[3B4h] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3B5] Emisiones indirectas de los N2O de la gestión del estiércol,,,2523565.607,,,,,,,,,,,,,,,,,,,,,,,,,2523565.607,,
[3C] Cultivo del arroz,,192814.54,,,,,,,,,,,,,,,,,,,,,,,,,,192814.54,,
[3D1] Emisiones directas de los N2O de los suelos gestionados,,,9978274.86,,,,,,,,,,,,,,,,,,,,,,,,,9978274.86,,
[3D2] Emisiones indirectas de los N2O de los suelos gestionados,,,5207485.445,,,,,,,,,,,,,,,,,,,,,,,,,5207485.445,,
[3F] Emisiones de quemado de biomasa en tierras de cultivo,,595978.263,180538.439,,,,,,,,,,,,,,,,,,,,,,,,,776516.702,,3385.22
[3G] Encalado,36527.68,,,,,,,,,,,,,,,,,,,,,,,,,,,36527.68,,
[3H] aplicación de urea,1309751.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1309751.6,,
"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",-197730410.971,542873.908,216231.572,,,,,,,,,,,,,,,,,,,,,,,,,-196971305.492,,1947.02
[4A] Tierra forestales,-188209102.63,,,,,,,,,,,,,,,,,,,,,,,,,,,-188209102.63,,
[4A1] Tierras forestales que permanecen como tal,-186654973.565,,,,,,,,,,,,,,,,,,,,,,,,,,,-186654973.565,,
[4A2] Tierras convertidas a tierras forestales,-1554129.065,,,,,,,,,,,,,,,,,,,,,,,,,,,-1554129.065,,
[4B] Tierra de cultivo,-12012692.05,,,,,,,,,,,,,,,,,,,,,,,,,,,-12012692.051,,
[4B1] Tierras de cultivo que permanecen como tal,-15637966.16,,,,,,,,,,,,,,,,,,,,,,,,,,,-15637966.16,,
[4B2] Tierras convertidas a tierras de cultivo,3625274.109,,,,,,,,,,,,,,,,,,,,,,,,,,,3625274.109,,
[4C] Praderas,7548700.51,,,,,,,,,,,,,,,,,,,,,,,,,,,7548700.514,,
[4C1] Praderas que permanecen como tal,-482970.01,,,,,,,,,,,,,,,,,,,,,,,,,,,-482970.01,,
[4C2] Tierras convertidas en praderas,8031670.524,,,,,,,,,,,,,,,,,,,,,,,,,,,8031670.524,,
[4D] Humedales,192273.72,,,,,,,,,,,,,,,,,,,,,,,,,,,192273.72,,
[4D1] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4D2] Tierras convertidas en humedales,192273.72,,,,,,,,,,,,,,,,,,,,,,,,,,,192273.72,,
[4E] Asentamientos ,423812.6,,,,,,,,,,,,,,,,,,,,,,,,,,,423812.601,,
[4E1] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4E2] Tierras convertidas en asentamientos,423812.601,,,,,,,,,,,,,,,,,,,,,,,,,,,423812.601,,
[4F] Otras tierras ,90379.02,,,,,,,,,,,,,,,,,,,,,,,,,,,90379.022,,
[4F1] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4F1] Tierras convertidas en otras tierras,90379.022,,,,,,,,,,,,,,,,,,,,,,,,,,,90379.022,,
[4(IV)] Emisiones de GEI por quemado de biomasa,,542873.908,216231.572,,,,,,,,,,,,,,,,,,,,,,,,,759105.48,,1947.02
[4(IV)A] Emisiones de quemado de biomasa en tierras forestales,,495941.748,175676.072,,,,,,,,,,,,,,,,,,,,,,,,,671617.82,,1710.591
[4(IV)C] Emisiones de quemado de biomasa en tierras praderas,,46932.16,40555.5,,,,,,,,,,,,,,,,,,,,,,,,,87487.66,,236.429
[4(IV)H] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
[4G] Productos de madera recolectada,-5763782.149,,,,,,,,,,,,,,,,,,,,,,,,,,,-5763782.149,,
[4H] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5] Residuos,685585.386,28670459.635,5243420.988,,,,,,,,,,,,,,,,,,,,,,,,,34599466.01,,1434.393
[5A] Eliminación de residuos sólidos,,9826616.588,,,,,,,,,,,,,,,,,,,,,,,,,,9826616.588,,
[5A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,5686038.998,,,,,,,,,,,,,,,,,,,,,,,,,,5686038.998,,
[5A2] Sitios no controlados de eliminación de residuos ,,2972181.308,,,,,,,,,,,,,,,,,,,,,,,,,,2972181.308,,
[5A3] Tiraderos a cielo abierto para eliminación de residuos,,1168396.283,,,,,,,,,,,,,,,,,,,,,,,,,,1168396.283,,
